Lat,Lon
35.04814,-106.63596
35.22077,-108.76136
35.08063,-106.37636
35.15406,-106.52413
35.08427,-106.62308
35.81,-105.99
35.077,-107.55714
35.08063,-106.37636
32.38288,-106.71531
35.03281,-106.67523
35.17809,-106.73344
35.0928,-106.62419
35.04834,-106.63601
36.1726,-107.33499
35.07429,-106.62787
35.08449,-106.65114
35.07174,-106.53308
36.68238,-108.48568
35.05867,-106.57625
35.05867,-106.57624
34.59636,-106.01631
35.06913,-106.57108
35.1059,-106.72232
35.11045,-106.61131
35.60512,-105.99539
34.59634,-106.01627
35.0518,-106.63625
36.76514,-108.07073
36.17664,-105.62133
35.11569,-106.59933
34.81925,-106.75643
35.09621,-106.63445
35.60514,-105.9954
35.11565,-106.59934
35.08294,-106.62405
35.69159,-105.94926
35.06368,-106.6437
35.04828,-106.63584
35.20384,-106.66398
35.07241,-106.62908
35.07634,-106.49847
35.1703,-106.52054
35.09457,-106.64076
35.29635,-106.65539
35.08584,-106.51126
35.11795,-106.6431
35.23234,-106.69291
35.68629,-105.93811
35.04978,-106.69337
35.07348,-106.63007
35.08316,-106.62153
35.17035,-106.52051
35.05238,-106.63635
35.06834,-106.57162
35.08012,-106.51393
35.08167,-106.61976
35.08449,-106.65114
35.68616,-105.93273
35.08637,-106.6233
35.04225,-106.70528
35.24194,-106.65408
35.04229,-106.70532
35.10591,-106.72222
35.08142,-106.577
35.08504,-106.61452
35.14678,-106.63926
35.11639,-106.7046
35.08494,-106.50948
34.80268,-106.72555
35.10518,-106.6043
35.0498,-106.69335
35.1358,-106.60886
35.07204,-106.64663
34.80268,-106.72555
35.21211,-106.68898
35.0816,-106.62629
35.68624,-105.93275
35.21212,-106.68898
35.07344,-106.62987
35.08687,-106.65309
35.11266,-106.53319
35.08449,-106.65114
35.11315,-106.51768
36.33071,-106.47315
35.11292,-106.51769
35.24231,-106.65413
35.08449,-106.65114
35.06828,-106.54641
35.2161,-106.67301
35.30745,-106.65803
35.11868,-106.51606
36.14069,-105.65959
35.11828,-106.70414
